departamento,provincia,municipio,codigo,tipo,nacion_pueblo,casos,porcentaje_indigena_sobre_indigena,poblacion,porcentaje_indigena_poblacion_total,año
LA PAZ,MURILLO,LA PAZ,020101,C ,INTERCULTURAL,4,0,766468,0.001,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,CAMPESINO,1935,1.21,766468,0.252,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,INDÍGENA,1329,0.83,766468,0.173,2012
LA PAZ,MURILLO,LA PAZ,020101,C ,INDÍGENA U ORIGINARIO NO ESPECIFICADO,191,0.12,766468,0.025,2012
LA PAZ,MURILLO,PALCA,020102,A ,AYMARA,13927,94.86,16622,83.787,2012
LA PAZ,MURILLO,PALCA,020102,A ,QUECHUA,60,0.41,16622,0.361,2012
LA PAZ,MURILLO,PALCA,020102,B ,AFROBOLIVIANO,4,0.03,16622,0.024,2012
LA PAZ,MURILLO,PALCA,020102,B ,ESSE EJJA,1,0.01,16622,0.006,2012
LA PAZ,MURILLO,PALCA,020102,B ,GUARANI,1,0.01,16622,0.006,2012
LA PAZ,MURILLO,PALCA,020102,B ,ITONOMA,1,0.01,16622,0.006,2012
LA PAZ,MURILLO,PALCA,020102,B ,LECO,1,0.01,16622,0.006,2012
LA PAZ,MURILLO,PALCA,020102,B ,SIRIONÓ,1,0.01,16622,0.006,2012
LA PAZ,MURILLO,PALCA,020102,B ,TACANA,1,0.01,16622,0.006,2012
LA PAZ,MURILLO,PALCA,020102,C ,MORO MORO,1,0.01,16622,0.006,2012
LA PAZ,MURILLO,PALCA,020102,C ,QHAPAQ UMA SUYU,1,0.01,16622,0.006,2012
LA PAZ,MURILLO,PALCA,020102,C ,ORIGINARIO,79,0.54,16622,0.475,2012
LA PAZ,MURILLO,PALCA,020102,C ,CAMPESINO,373,2.54,16622,2.244,2012
LA PAZ,MURILLO,PALCA,020102,C ,INDÍGENA,228,1.55,16622,1.372,2012
LA PAZ,MURILLO,PALCA,020102,C ,INDÍGENA U ORIGINARIO NO ESPECIFICADO,2,0.01,16622,0.012,2012
LA PAZ,MURILLO,MECAPACA,020103,A ,AYMARA,11006,93.22,16086,68.42,2012
LA PAZ,MURILLO,MECAPACA,020103,A ,QUECHUA,111,0.94,16086,0.69,2012
LA PAZ,MURILLO,MECAPACA,020103,B ,AFROBOLIVIANO,16,0.14,16086,0.099,2012
LA PAZ,MURILLO,MECAPACA,020103,B ,CHIQUITANO,1,0.01,16086,0.006,2012
LA PAZ,MURILLO,MECAPACA,020103,B ,GUARAYO,5,0.04,16086,0.031,2012
LA PAZ,MURILLO,MECAPACA,020103,B ,GUARANI,1,0.01,16086,0.006,2012
LA PAZ,MURILLO,MECAPACA,020103,B ,ITONOMA,11,0.09,16086,0.068,2012
LA PAZ,MURILLO,MECAPACA,020103,B ,MAROPA,1,0.01,16086,0.006,2012
LA PAZ,MURILLO,MECAPACA,020103,B ,MOJEÑO,2,0.02,16086,0.012,2012
LA PAZ,MURILLO,MECAPACA,020103,B ,TACANA,2,0.02,16086,0.012,2012
LA PAZ,MURILLO,MECAPACA,020103,B ,TSIMANE CHIMAN,8,0.07,16086,0.05,2012
LA PAZ,MURILLO,MECAPACA,020103,B ,WEENAYEK,1,0.01,16086,0.006,2012
LA PAZ,MURILLO,MECAPACA,020103,C ,JACH'A PACAJAQUI,2,0.02,16086,0.012,2012
LA PAZ,MURILLO,MECAPACA,020103,C ,JESÚS DE MACHACA,1,0.01,16086,0.006,2012
LA PAZ,MURILLO,MECAPACA,020103,C ,QOLLAS,2,0.02,16086,0.012,2012
LA PAZ,MURILLO,MECAPACA,020103,C ,ORIGINARIO,13,0.11,16086,0.081,2012
LA PAZ,MURILLO,MECAPACA,020103,C ,CAMPESINO,439,3.72,16086,2.729,2012
LA PAZ,MURILLO,MECAPACA,020103,C ,INDÍGENA,182,1.54,16086,1.131,2012
LA PAZ,MURILLO,MECAPACA,020103,C ,INDÍGENA U ORIGINARIO NO ESPECIFICADO,2,0.02,16086,0.012,2012
LA PAZ,MURILLO,ACHOCALLA,020104,A ,AYMARA,13657,91.95,22179,61.576,2012
LA PAZ,MURILLO,ACHOCALLA,020104,A ,QUECHUA,316,2.13,22179,1.425,2012
LA PAZ,MURILLO,ACHOCALLA,020104,B ,AFROBOLIVIANO,71,0.48,22179,0.32,2012
LA PAZ,MURILLO,ACHOCALLA,020104,B ,CHIQUITANO,2,0.01,22179,0.009,2012
LA PAZ,MURILLO,ACHOCALLA,020104,B ,ESSE EJJA,1,0.01,22179,0.005,2012
LA PAZ,MURILLO,ACHOCALLA,020104,B ,GUARANI,4,0.03,22179,0.018,2012
LA PAZ,MURILLO,ACHOCALLA,020104,B ,ITONOMA,6,0.04,22179,0.027,2012
